maxpool
latent size single: 16
loading dataset
16
pccppcpc1123 (16, 27, 48, 3)
creating model
start training
[8/15000], training loss: 0.1919
[16/15000], training loss: 0.1455
[24/15000], training loss: 0.1364
[32/15000], training loss: 0.1344
[40/15000], training loss: 0.1268
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[48/15000], training loss: 0.1276
[56/15000], training loss: 0.1285
[64/15000], training loss: 0.1267
[72/15000], training loss: 0.1287
[80/15000], training loss: 0.1262
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[88/15000], training loss: 0.1279
[96/15000], training loss: 0.1199
[104/15000], training loss: 0.1133
[112/15000], training loss: 0.1322
[120/15000], training loss: 0.1263
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[128/15000], training loss: 0.1255
[136/15000], training loss: 0.1156
[144/15000], training loss: 0.1237
[152/15000], training loss: 0.1281
[160/15000], training loss: 0.1154
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[168/15000], training loss: 0.1227
[176/15000], training loss: 0.1161
[184/15000], training loss: 0.1239
[192/15000], training loss: 0.1217
[200/15000], training loss: 0.1143
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[208/15000], training loss: 0.1227
[216/15000], training loss: 0.1156
[224/15000], training loss: 0.1258
[232/15000], training loss: 0.1207
[240/15000], training loss: 0.1184
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[248/15000], training loss: 0.1163
[256/15000], training loss: 0.1184
[264/15000], training loss: 0.1188
[272/15000], training loss: 0.1211
[280/15000], training loss: 0.1099
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[288/15000], training loss: 0.1195
[296/15000], training loss: 0.1192
[304/15000], training loss: 0.1176
[312/15000], training loss: 0.1226
[320/15000], training loss: 0.1124
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[328/15000], training loss: 0.1199
[336/15000], training loss: 0.1105
[344/15000], training loss: 0.1046
[352/15000], training loss: 0.1076
[360/15000], training loss: 0.1141
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[368/15000], training loss: 0.1218
[376/15000], training loss: 0.1156
[384/15000], training loss: 0.1131
[392/15000], training loss: 0.1210
[400/15000], training loss: 0.1143
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[408/15000], training loss: 0.1112
[416/15000], training loss: 0.1218
[424/15000], training loss: 0.1228
[432/15000], training loss: 0.1177
[440/15000], training loss: 0.1141
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[448/15000], training loss: 0.1180
[456/15000], training loss: 0.1160
[464/15000], training loss: 0.1059
[472/15000], training loss: 0.1122
[480/15000], training loss: 0.1164
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[488/15000], training loss: 0.1190
[496/15000], training loss: 0.1182
[504/15000], training loss: 0.1092
[512/15000], training loss: 0.1185
[520/15000], training loss: 0.1231
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[528/15000], training loss: 0.1201
[536/15000], training loss: 0.1031
[544/15000], training loss: 0.1093
[552/15000], training loss: 0.1300
[560/15000], training loss: 0.1170
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[568/15000], training loss: 0.1162
[576/15000], training loss: 0.1113
[584/15000], training loss: 0.1136
[592/15000], training loss: 0.1126
[600/15000], training loss: 0.1147
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[608/15000], training loss: 0.1087
[616/15000], training loss: 0.0962
[624/15000], training loss: 0.1284
[632/15000], training loss: 0.1002
[640/15000], training loss: 0.1075
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[648/15000], training loss: 0.0980
[656/15000], training loss: 0.1018
[664/15000], training loss: 0.1082
[672/15000], training loss: 0.1124
[680/15000], training loss: 0.1139
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[688/15000], training loss: 0.1103
[696/15000], training loss: 0.1016
[704/15000], training loss: 0.1049
[712/15000], training loss: 0.1126
[720/15000], training loss: 0.0982
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[728/15000], training loss: 0.1132
